"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",15216,14199,14025,13641,13721,14725,14185,14112,13719,14821,14509,14348
"B",14967,299,1507,1732,2023,2803,13671,2499,2655,2725,2968,14679
"C",14827,2410,11607,13885,14784,13855,14440,2146,13416,13171,14300,14662
"D",15313,2377,14483,17326,16093,12183,14320,15247,15332,15442,15416,14213
"E",11475,4589,13657,13959,13739,13232,14571,13282,14328,14623,14040,14011
"F",13238,3996,16140,15578,14266,13987,13026,14868,12835,14525,1788,14550
"G",13282,3458,16729,15783,12343,12626,13395,14216,14191,14420,13948,14979
"H",12514,15876,12012,15596,15166,16241,15825,15256,16369,15689,15232,15748
