"","2","3","4","5","6","7","8","9","10","11"
"B",1971,4664,5356,5727,19273,31277,5275,5278,5073,5561
"C",3569,7215,9822,8906,25520,30964,9350,10138,10581,10472
"D",5246,13875,15044,16371,32790,32647,17090,15531,15308,18617
"E",6788,14970,18717,17972,30799,26196,20275,20783,19366,20704
"F",7314,14717,17736,20787,32168,33003,20458,20642,18630,19927
"G",7110,15396,19370,20630,35610,29516,21538,20309,18042,20757
