"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",50195,43817,42362,42147,40144,40514,40793,41289,40752,40548,41254,41060
"B",47038,1814,4235,4096,3634,4768,40465,4043,4449,3848,3791,41509
"C",49876,12223,19398,17939,23097,37656,40298,31364,33848,37483,36348,40556
"D",50318,13300,26333,23630,26922,41185,40590,37645,40283,40695,40737,42757
"E",46395,8954,26293,25737,28510,42800,41916,35170,40015,38199,40599,42157
"F",51077,10592,26669,27231,30216,40968,40564,36227,39378,39585,42283,41262
"G",49093,8743,27683,27667,28306,43809,40688,37439,41972,41516,41163,42057
"H",45386,47831,46479,47311,44459,45408,40685,43995,42902,40814,38991,42028
