"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",30033,32015,29691,31477,26001,22949,22708,20982,20895,19172,18628,18174
"B",19286,102,769,1136,1080,3428,17328,1,2452,2998,3080,15924
"C",18237,2,5846,7430,10141,15187,13753,12184,12436,12785,11490,14632
"D",16649,2106,8192,7264,12931,8,9738,11113,10120,9942,10143,11935
"E",12211,2015,6636,7739,8359,8195,8398,9293,8557,9061,8772,9835
"F",11239,2564,6753,7628,8563,7937,7921,8906,9317,8553,8369,8896
"G",11737,1961,7488,7659,8582,8980,8943,9374,9155,10,9061,10544
"H",11345,11660,10497,11190,11391,12189,11883,11757,10793,10123,10275,8514
