"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",16724,32835,26539,28725,29361,29163,27009,29058,32510,29509,32406,19458
"B",24621,14,12,11,23,37,28446,39,10,24,25,35005
"C",28357,15,13,21,23,232,25769,39,28,15,50,29525
"D",31025,43,65,151,274,8993,25778,205,377,1044,4404,33449
"E",29236,1100,5152,6957,7995,25179,26908,8851,12139,16155,25482,34448
"F",NA,379,2540,3936,4091,21273,25295,4240,5295,10256,18749,32391
"G",23993,1033,5652,7702,8300,26420,30028,8515,10674,16791,23117,28540
"H",13379,30927,30061,29376,32020,34060,33485,27823,31880,30159,37803,18850
