"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",31129,28983,29604,31895,31602,30796,30529,32075,29774,29564,27864,30367
"B",30564,234,958,1296,1669,5270,27224,2907,4160,4286,4542,27141
"C",30911,1196,5341,6135,8681,17391,25475,12939,14776,16123,16725,27784
"D",29896,1665,8662,11058,14601,23106,27537,22477,23921,22847,22348,28247
"E",31203,1904,12853,13961,20211,25400,27045,25883,24362,25877,25460,27544
"F",30525,1632,11768,12793,18797,25321,25577,24339,26369,24985,25180,27730
"G",29787,1811,10652,14640,20953,26047,26103,25095,25868,26530,26248,26711
"H",32492,29505,30302,30365,29948,28496,28483,29446,30161,29695,26527,27922
