"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",77991,84179,83078,84467,84115,83535,85071,79571,85299,82771,74158,80840
"B",72520,317,876,1428,1492,14687,61414,1323,1481,1495,1975,70479
"C",71583,2645,5938,4268,3616,34418,65895,3483,3001,3598,3448,75465
"D",74256,10949,19503,21014,21635,61324,64954,21394,21792,21777,24035,74391
"E",74276,17828,30221,39281,38523,62026,66141,36838,39104,39109,40637,72815
"F",NA,14837,28619,34591,34154,69197,65262,32997,32950,37815,34921,76362
"G",68967,15264,31852,40977,38029,65662,64490,37482,37801,38080,39336,75819
"H",56491,69486,72093,75438,72156,68843,72407,69198,73688,73489,70522,76371
