"","2","3","4","5","6","7","8","9","10","11"
"B",102,412,599,920,21998,43744,1538,3389,6277,14845
"C",445,809,1388,1433,33784,47825,3011,6592,11759,23660
"D",1451,2377,3221,4093,40572,48464,6557,11174,20624,33737
"E",7192,14614,16639,17555,44070,45030,22314,27638,35419,43666
"F",3923,7555,9772,10438,43535,46611,13236,19760,29601,43978
"G",5770,13988,13647,17109,47815,49325,18460,27205,37163,47076
