"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",2614,3978,4228,4416,4396,3518,3146,3980,4681,4155,4312,3122
"B",2746,49,343,457,332,896,2924,527,702,689,650,2630
"C",2340,660,1932,1623,2155,2730,2894,2674,2606,2404,2680,2549
"D",2417,653,2379,2662,2633,2398,2919,2797,2062,2646,1884,1785
"E",2744,2030,4467,3834,2925,2121,1780,2713,2319,1952,1916,2178
"F",2429,1345,3499,3210,2939,1845,2396,2491,2019,2370,1742,1777
"G",2896,1252,914,3861,3051,1380,1761,2845,1876,1897,1654,1906
"H",2232,2180,2350,1967,556,2480,1960,1876,279,1279,1545,1472
