"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",92235,98768,125558,96712,92245,80550,96053,88700,107850,108751,92822,86355
"B",106604,88512,81256,94231,92784,95561,90975,96503,115767,89939,99686,85924
"C",95197,92243,105546,91196,96694,80055,95763,96848,101515,102541,94899,84384
"D",110375,104114,103207,101799,96261,89411,97804,105752,113648,103539,107499,82976
"E",117296,99982,96646,99920,102243,102161,117622,111899,116599,109119,109560,93168
"F",111910,103016,95518,104138,106382,103462,128262,116551,108846,113287,101621,94476
"G",109054,107132,96617,100499,99079,89471,106822,107651,106528,104774,94901,91984
"H",88416,95065,104022,90755,90876,87566,84616,93035,95776,87784,96108,81083
