"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,81120,87240,85720,84680,77200,85000,81040,77360,83440,89960,83960,83880
"B",95480,44440,44880,40760,46360,44640,38960,31480,21240,10760,8160,6600,88040
"C",89200,40560,47120,50000,46640,45680,43560,30080,25640,12080,6440,6840,79400
"D",93480,41160,43480,42640,38880,37000,37280,39600,22600,10080,9840,5520,83920
"E",85280,38120,42040,42040,37640,42040,40960,33920,20520,10440,7640,5400,79240
"F",85360,54120,53080,64760,64880,54480,61000,53080,24320,9880,6960,5680,92960
"G",86200,76120,85400,79960,77560,84920,79320,63680,21200,11560,6240,5560,83520
"H",88720,85400,86560,85200,86400,80800,85440,66120,24800,9760,6880,4200,81840
"I",88080,82840,91360,82520,85920,85000,82160,68120,26520,16840,4880,3520,90200
"J",84800,71480,83360,80800,77640,84280,77000,66160,23480,11440,9440,5360,85480
"K",80080,61440,64720,63160,67880,64440,62000,56000,27960,9920,6480,5680,89760
"L",88800,40800,43720,40160,40000,38960,48520,34600,22200,10720,6920,15880,80160
"M",81720,37720,39200,35560,38120,38320,35560,35400,23120,10360,7120,8440,84400
"N",82600,42480,45640,41880,41840,43600,47720,40800,20360,11800,7560,5400,90720
"O",83600,29360,56320,26800,39760,46480,46520,19520,19840,14720,8280,6160,75920
"P",NA,93880,48000,83880,47760,84520,50880,86960,80280,79960,46840,77280,71720
