"","1","2","3","4","5","6","7","8","9","10"
"A",24489.05503,24481.59218,25044.42003,21886.1859,13417.72003,9281.010848,6227.553334,3867.350813,2996.343085,2210.499411
"B",22693.04891,22867.48332,18925.06933,13510.35082,12373.00057,8454.294512,6480.520501,3354.314051,2856.511796,2193.098589
"C",17285.75684,17355.394,15274.74039,15703.108,11443.31993,7593.724817,6864.947523,3338.155551,2946.625221,2044.881275
"D",17899.43965,17746.48414,17917.16015,14047.49053,11807.2939,6845.990218,6348.442792,3344.370358,2708.291317,2089.936778
"E",18593.65574,20134.16822,18525.88116,15478.97588,10675.2898,7604.913002,4386.611062,3000.071928,2448.208034,1849.123641
"F",16933.84288,14307.67091,14620.07676,12784.85395,9667.026534,5631.19294,4653.857899,2709.534253,2018.469459,1730.116032
