"","2","3","4","5","6","7","8","9","10","11","12"
"B",17760,23440,23080,27840,25360,26560,27200,28000,26160,27880,154840
"C",36080,74200,98680,95600,106640,100640,115840,114160,107560,111040,157200
"D",42800,101440,122000,135080,139920,139440,142000,144920,134240,143840,157640
"E",45560,108760,127400,156360,146040,152320,156800,155400,165720,167360,184000
"F",67200,138520,164280,161040,192640,208600,190600,190640,193160,193560,178920
"G",78160,138600,164040,175200,172240,199240,196400,200320,192920,178960,168320
"H",98080,154800,178320,184040,197600,188320,196080,196520,188640,184360,179400
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,190440,177840
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166680
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179040
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165840
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163520
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163840
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156560
