"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",43692,40651,42546,42773,44812,44948,44879,44458,46315,43486,42882,44453
"B",42986,434,2116,1794,2471,4142,42027,3202,3863,3913,4225,42948
"C",42583,3513,9275,10044,12642,25584,42660,18232,22379,23793,22005,43311
"D",42563,14838,20908,21412,26139,39761,41819,33392,38534,40959,40910,42861
"E",43726,15785,21696,25031,28366,43218,41927,37801,40855,40084,40110,44871
"F",44228,14792,24489,22247,27866,42114,42408,35681,41666,41282,39671,41936
"G",43216,11124,22446,23149,28591,43084,43130,36257,40637,41791,40171,43847
"H",49371,47601,45425,45583,41884,47724,48447,47117,42733,45867,43391,45425
