"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",162,74338,64781,69133,75561,71618,82311,71992,85290,78128,77264,64173
"B",197,53894,64050,55104,68206,58407,68920,60224,69623,64404,74543,61321
"C",196,72477,73700,76164,79398,72030,76500,74129,72083,83787,84195,73312
"D",214,69705,78694,75267,85611,81253,79190,72155,69715,84126,85152,77104
"E",284,85958,77843,90452,95247,104211,108935,100006,96028,98001,86233,81394
"F",229,75917,79652,88757,90690,90119,95682,83355,86501,91777,85293,71226
"G",227,70928,69883,83035,102961,91175,96958,84802,97413,88501,78899,70108
"H",163,69471,72911,71870,92640,72784,100397,82671,91328,80175,83538,95666
