"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,240,280,200,200,280,200,280,240,200,160,40,80
"B",34320,2720,3800,6120,8360,10560,10040,12560,10800,10080,2280,320,160
"C",55280,40080,38040,40680,34560,40000,37320,42320,47360,44000,19240,680,34160
"D",61400,60480,57000,57800,57400,55880,57880,57560,59200,57560,31560,640,38280
"E",59480,60720,59480,58560,62840,59720,60320,65720,60840,61040,44480,800,42520
"F",63040,60960,57680,63080,63280,60400,64360,58680,63120,56280,35560,1160,43720
"G",63360,66680,64880,66040,60360,57720,58680,64640,63880,59800,34240,1040,39320
"H",67360,63680,67000,61400,60880,67200,60160,63600,64120,60680,43680,1120,19680
"I",69360,63720,60920,59480,61960,62920,63120,63600,61280,59720,40640,1240,6160
"J",61840,61160,58920,59160,61960,57200,58080,61880,60400,52400,30800,880,12480
"K",63400,62280,63320,61520,57640,64120,55560,56040,60040,63320,34440,720,27760
"L",61880,59880,64240,57800,55960,57080,60800,61080,66320,60880,32440,1080,41600
"M",60680,59040,58400,61760,60160,58080,60360,59800,61520,56920,37440,840,15800
"N",58280,41800,42040,46200,44800,46840,41560,45960,46560,45880,18240,440,240
"O",55920,13040,15400,15560,14560,14600,14080,17160,16000,15400,2320,280,80
"P",NA,280,280,320,280,320,2040,960,5480,240,160,120,80
