"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",80,720,25560,12520,9920,1320,480,520,360,400,400,320,NA
"B",280,5280,14600,16160,17120,20000,15760,18960,14800,12440,16920,42160,14720
"C",680,19960,24160,27200,26200,23160,20840,22240,18240,21320,19600,53920,20200
"D",7880,12440,18360,21200,21720,18840,20400,19360,22400,23360,20920,50160,21040
"E",7400,22480,32560,30640,42200,40840,45240,44880,47080,44520,45880,51760,44960
"F",1320,21360,27560,30840,41080,49440,52360,53680,49480,50680,54240,51800,54040
"G",400,21400,34760,37160,47720,51000,47960,52120,51760,54960,59160,54480,53000
"H",480,14480,24880,32680,36400,51200,50320,50120,56920,54160,50480,53880,56400
"I",240,24880,34680,42640,45480,47560,52440,54480,56400,55480,59280,58320,53360
"J",440,14120,28200,26760,40040,48400,53080,50960,52680,52320,53800,55520,53120
"K",840,26600,35880,42800,48840,39200,55560,53360,58280,53920,56200,53680,55480
"L",160,13080,20400,27160,32680,41120,45680,40560,44280,38640,49720,52640,44960
"M",760,17360,26440,23680,24800,20000,19840,25040,23160,24880,24400,50920,25240
"N",120,7320,13280,19760,21640,18320,16240,19960,18600,17120,19880,55640,16800
"O",80,2800,19320,20840,20560,17480,15280,11720,14240,17320,15080,45040,11800
"P",40,120,280,4280,10600,4960,8560,1640,360,320,200,280,NA
