"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",86960,91200,90560,88760,96960,91720,96560,88480,92040,91840,93720,100920,NA
"B",96000,22880,20760,22080,24920,28520,26080,27040,31920,28120,30000,96520,28760
"C",96040,18080,21800,23920,26440,30200,29080,26360,31600,33000,28520,94640,32720
"D",94520,21240,23800,32240,31360,31920,33680,34080,36320,38160,40480,98240,44960
"E",94800,58160,53680,56720,65480,67200,74480,75280,84680,82600,89800,93360,90120
"F",94680,66880,68240,73520,72880,81040,84720,85320,91600,94080,88560,92160,89520
"G",92360,63440,76400,71040,80320,83720,85800,89200,91480,87800,97400,91360,97680
"H",101040,65880,68320,81400,81440,87200,86960,96160,90560,94520,92080,96600,99040
"I",99040,66080,71520,71280,78280,82840,86880,90480,90960,93600,93440,95320,91800
"J",94360,68760,70400,72920,82960,87280,85520,87240,90960,90920,92520,95240,91200
"K",99120,67040,69440,77720,80720,75000,89560,91360,93760,93720,94040,94880,98280
"L",99080,51520,51200,56120,58680,72720,74680,76240,83800,83160,87360,99320,85400
"M",92280,19760,24160,25760,32200,31720,34560,37640,31880,38240,39480,94120,47600
"N",97840,25560,23520,24840,25040,26200,30560,28080,31640,31040,31320,90280,33080
"O",91560,19320,16040,24160,12960,25120,16160,24320,19880,26080,26680,86840,21000
"P",88320,60760,88840,91400,88440,60360,90480,97920,92680,106040,86440,98600,NA
