"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,95680,101440,99360,96400,96080,95560,98800,96680,93040,94840,96120,93880
"B",96520,28760,30320,29480,28680,24720,28360,21320,20440,14880,7240,3040,97400
"C",94640,32720,32400,30720,29320,27160,27520,23440,21160,18600,8720,2320,95960
"D",98240,44960,44080,41240,42600,38960,40480,35920,34680,24400,9400,3040,98360
"E",93360,90120,87680,86800,82160,91480,86880,81120,79240,70840,32280,5720,94320
"F",92160,89520,97040,85040,96360,91520,93400,89640,89640,73880,34400,5680,98160
"G",91360,97680,97240,90320,95040,99520,89680,94280,87520,84720,35440,4080,93480
"H",96600,99040,101560,97040,95400,97840,92840,95240,89600,77320,38040,5200,97040
"I",95320,91800,93240,89920,89760,97000,89560,90640,88200,81120,36320,4760,89480
"J",95240,91200,89600,92120,94480,94520,92920,92600,86120,74160,39920,4520,99040
"K",94880,98280,90560,89080,89880,91080,95280,87960,84960,78840,35600,4920,94120
"L",99320,85400,89840,84640,87720,82560,87120,83520,79240,70320,24720,4120,96240
"M",94120,47600,48400,40720,51280,41720,44080,36480,38600,19720,9240,3200,90920
"N",90280,33080,34000,29040,30680,32880,25760,28720,25000,15920,6480,2920,91480
"O",86840,21000,31280,18600,23160,28880,25320,11880,21520,10720,9400,2880,83760
"P",NA,93160,61640,90680,57240,83680,104440,89400,95560,88120,68760,91920,70800
