"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",120,7600,17160,12440,9440,4560,2320,2120,1160,2160,1600,1840,NA
"B",10240,5080,14560,18160,16480,16280,17600,15400,13480,16920,14720,78520,16640
"C",34960,11120,11920,17360,18400,20040,17120,19840,16200,20680,19360,85320,20640
"D",44680,14440,20080,24800,24800,28320,36280,33800,33320,37600,37880,85800,42960
"E",44080,26320,42000,49920,65160,73000,78200,75360,79840,81280,86080,85880,79920
"F",46960,31640,45040,55080,68280,79440,84360,82680,87640,75360,82880,90440,90080
"G",40520,26240,38280,58600,68920,70920,75320,80280,80520,81320,79520,84840,84960
"H",38120,37000,47040,61600,72480,78000,79720,80960,87200,87400,90440,84960,85600
"I",30480,28680,44800,52840,64000,71760,77160,79600,82600,83280,85200,86160,85400
"J",31680,30560,44960,54240,66320,81520,78720,81200,79800,87240,83000,80920,79720
"K",32960,25240,43360,52280,64200,65360,79120,82240,79640,80600,78800,79520,80640
"L",33960,25560,44520,52560,62280,71000,75280,77840,84560,77240,80120,80160,79960
"M",20280,8080,18840,15960,31480,35800,46520,48320,42560,42040,53080,80160,49560
"N",16360,7480,16920,20080,19640,23040,21600,23440,22800,21640,23080,94440,28440
"O",600,1680,7280,14040,14800,12760,15320,16240,15760,15240,19160,75040,16520
"P",120,1600,25760,24600,28800,39360,25080,25040,26400,34160,22440,20360,NA
