"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,640,840,1080,1040,520,1240,1920,880,1200,560,120,40
"B",40800,29640,16080,30400,16880,27240,26480,29800,30480,7920,1440,240,200
"C",64320,28760,37480,35760,38000,38400,37560,34840,31920,21960,4360,1440,1360
"D",71840,25840,25000,23840,33000,26000,30440,22960,35920,23480,4720,4920,6040
"E",77120,56760,56840,57720,54160,51720,43280,52560,55120,20480,5720,2440,11760
"F",74720,77320,83600,71960,78360,69640,68400,60800,75200,26920,5520,2400,6280
"G",72880,80760,73240,76320,72160,70120,78280,72640,73000,28000,5200,1600,3160
"H",68480,75320,70600,72760,70640,63840,72080,69040,71560,28480,7040,1640,2840
"I",71040,75800,74400,76560,77520,69720,72680,70760,64120,32440,4480,1280,2120
"J",68680,75480,72200,68240,64960,62680,75040,67000,78440,28560,5840,2480,1800
"K",82440,71600,69840,71480,73160,73400,69000,66760,66360,28640,5200,2520,2320
"L",69880,54280,55360,56120,50960,53800,57520,50600,52840,16760,5800,2640,2880
"M",70920,28440,26880,23440,23400,27000,22840,21200,27200,20080,5520,3200,1200
"N",69400,33160,30840,32040,33240,37760,39080,39080,30960,21280,7240,1720,1000
"O",52760,33040,30280,36920,30480,33240,30480,32080,27720,17800,1480,400,240
"P",NA,1600,2800,2960,6800,10680,3240,5640,9080,1400,2200,1520,40
