"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,1720,7200,10120,15400,18280,17880,25120,26120,34000,25520,15360,240
"B",78520,16640,17680,19960,16400,22240,18800,18840,19920,13960,7320,520,21600
"C",85320,20640,22280,21920,21480,22760,19720,20600,17360,19440,12440,1160,49480
"D",85800,42960,41920,38360,37360,38160,39760,39400,38080,44800,19280,1400,59560
"E",85880,79920,82720,83680,82880,87200,82160,86840,80680,82040,48400,2200,59960
"F",90440,90080,77680,86680,81440,84160,81720,83440,84800,80200,52840,2040,51480
"G",84840,84960,82280,86160,84120,81520,86600,89120,90120,85720,52760,1640,39360
"H",84960,85600,91240,88040,86320,87960,93240,89560,86720,82320,53120,1720,25560
"I",86160,85400,79280,75800,80920,84440,78480,82360,85560,80240,42240,1080,17040
"J",80920,79720,83400,87680,78920,80760,82400,85280,80320,77120,46120,1280,30280
"K",79520,80640,82800,81760,81200,82720,82800,83520,74560,73720,41480,1640,30360
"L",80160,79960,75080,79280,75840,77880,76520,79400,79600,73680,46400,1840,31040
"M",80160,49560,50560,49960,46080,43240,39320,35520,38520,23560,18760,1320,34880
"N",94440,28440,27600,27600,24440,23880,23520,24200,21640,20400,9840,800,44440
"O",75040,16520,16640,18200,16480,17720,16960,20520,16120,12840,6720,520,21840
"P",NA,19280,37320,32240,48880,45360,50480,55760,53800,54720,57960,26960,240
