"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",0,80,160,480,320,80,80,80,80,40,120,40,NA
"B",40,40,40,200,480,1120,1640,1720,840,280,80,200,240
"C",40,120,160,200,720,1720,3240,4480,5960,4360,4320,35000,4640
"D",80,160,200,480,1200,2640,3560,5280,6000,6320,5760,32080,5720
"E",80,320,600,4000,4320,12160,18320,20680,25120,21760,22920,36520,25120
"F",240,120,1760,4560,10080,19200,29880,31000,33600,32480,31880,32640,39240
"G",120,200,1880,6640,10240,17280,26920,29040,28760,30560,34120,35680,33080
"H",3240,920,1320,4680,9680,21120,25360,30240,30000,30600,25520,31280,30920
"I",160,280,520,3920,6880,14440,26480,27920,28760,33160,34320,36920,33440
"J",200,200,1760,5880,10000,18600,28080,29800,28840,31000,33080,32320,29360
"K",40,120,2120,3280,7720,19080,25280,27480,27560,30200,32760,32760,37960
"L",40,160,880,2720,6880,11280,21680,22600,18880,22160,19560,29920,22200
"M",40,80,360,400,1560,3080,5440,5520,5880,6680,6120,31840,7480
"N",0,40,40,440,880,1400,4520,5360,4200,4760,4760,27680,5440
"O",40,40,40,40,240,920,2480,4720,3320,5600,4600,30920,4600
"P",160,40,80,80,120,80,40,80,160,120,160,200,NA
