"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",40,40,80,80,80,80,280,320,240,240,280,240,NA
"B",40,120,400,760,1440,5400,5240,7560,6200,7080,3480,34320,2720
"C",40,200,560,1720,3840,24320,38800,36760,35840,40080,40360,55280,40080
"D",80,280,1080,2880,7080,45600,53720,57160,59200,57960,61680,61400,60480
"E",40,200,680,2200,5360,44880,59880,62320,59200,56880,59400,59480,60720
"F",80,400,1040,1840,14360,44480,59520,63760,65480,60880,67640,63040,60960
"G",40,160,1240,1840,6000,44160,56160,59960,62800,64640,66000,63360,66680
"H",40,320,640,2200,7960,43200,63520,65120,62440,63640,65080,67360,63680
"I",40,200,760,1960,8440,40760,55120,56760,64400,60160,65600,69360,63720
"J",160,360,880,2760,13040,42840,59200,67360,61560,62480,59400,61840,61160
"K",80,200,880,2200,8360,33400,55200,62880,60560,59560,63320,63400,62280
"L",40,320,840,1880,12400,39560,57200,62680,64800,62720,57920,61880,59880
"M",80,160,960,1680,7680,42600,56040,59600,67160,64800,60480,60680,59040
"N",40,200,480,880,8560,32360,40840,39040,40000,39440,42240,58280,41800
"O",80,160,360,920,2080,7840,11920,18520,13400,15760,17280,55920,13040
"P",40,40,80,80,120,160,200,200,160,240,360,320,NA
