"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,600,600,680,800,920,360,760,1040,2240,320,160,80
"B",42160,14720,18400,16320,18320,16400,14520,19200,16560,16360,14120,480,200
"C",53920,20200,19520,17680,22160,17880,19160,18480,14480,17280,15240,6760,1120
"D",50160,21040,23680,16480,18800,20960,22960,23880,19320,20760,16360,7640,4360
"E",51760,44960,42480,47240,42800,43640,41560,42000,43560,37440,22960,7640,11360
"F",51800,54040,55800,53400,54640,55160,51480,51920,53200,41320,24280,10400,1680
"G",54480,53000,55520,56480,50240,54840,52400,52040,47000,50400,24040,7200,520
"H",53880,56400,52600,53480,52920,56520,55080,53960,53000,45240,30640,8320,280
"I",58320,53360,51680,55080,54600,54760,52920,54160,48640,42920,26480,8320,160
"J",55520,53120,49440,51400,55760,52480,54520,54000,50320,48680,26120,8400,400
"K",53680,55480,53240,55520,50920,53800,53800,52560,54240,46760,23480,8280,880
"L",52640,44960,46880,42640,45800,42480,46400,48560,46400,37720,25240,8240,2280
"M",50920,25240,20560,18520,21760,22200,21600,21000,21440,18400,20000,10480,800
"N",55640,16800,19080,17840,17800,19200,19480,15280,18680,19120,15240,3880,360
"O",45040,11800,16080,15240,16880,18280,15200,19200,17640,15800,8240,480,80
"P",NA,280,360,360,840,4120,3160,2800,2960,5360,1000,160,40
