"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",68240,83320,81040,86720,88480,84240,89280,85560,78360,70960,78600,86280,NA
"B",86560,11560,13320,16520,16160,19320,21720,30760,34400,46520,45720,95480,44440
"C",78520,12040,14440,17160,15440,20120,24520,29720,36960,43160,44360,89200,40560
"D",84720,11600,14160,15240,14880,20440,25280,30320,36160,32320,36120,93480,41160
"E",81040,12560,13000,15080,14800,14440,19120,24760,32120,37040,36280,85280,38120
"F",78200,13640,14920,12000,15280,15760,25160,33560,45120,54640,56520,85360,54120
"G",74240,12280,16600,12800,16240,20880,24480,42320,65120,76640,77160,86200,76120
"H",90480,12800,12720,17000,15080,23280,33120,48680,67000,77760,83920,88720,85400
"I",88960,12960,11800,13480,17080,26080,32040,49440,66840,78000,80160,88080,82840
"J",89760,10480,13320,14000,14400,23640,37120,48960,62840,67800,75960,84800,71480
"K",94560,14040,14320,16840,17520,20080,24720,37040,47680,63640,63480,80080,61440
"L",89000,12200,12120,14320,14720,17040,20520,24720,32280,34920,35680,88800,40800
"M",79240,13080,12720,14840,18520,15800,20360,33400,36480,42680,39920,81720,37720
"N",83560,13320,12680,14680,18640,20320,23600,29080,38640,44760,43680,82600,42480
"O",83200,11400,7600,12160,16240,17800,19720,29440,24480,39720,42360,83600,29360
"P",82840,80080,83400,77200,78840,47560,84440,85600,73080,81720,84160,75280,NA
