"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",80,8840,35600,40200,38440,27280,34520,29960,31280,35760,35680,34920,NA
"B",20440,800,840,1880,2120,4080,7600,10400,15960,25760,26960,65640,35520
"C",34200,1040,2040,2120,2960,5920,11560,18080,33840,49040,54920,72280,57080
"D",49440,1240,1840,2000,2680,4600,10120,24320,40920,52720,64600,65880,68480
"E",50560,1600,640,1880,1440,5440,10480,23400,44200,58840,73320,66360,72160
"F",48160,1240,1320,2320,3080,3240,14520,20080,38000,55880,65760,68040,66600
"G",34840,920,960,1320,2280,4840,8000,17880,45160,53280,68600,67200,73280
"H",24000,920,1280,1520,2360,5600,12640,19240,40120,57880,70120,67840,70600
"I",22360,840,1360,1720,1640,4760,11440,22520,41600,59640,68760,67440,68760
"J",34440,1120,1040,1200,2720,4000,11240,29760,44520,57920,65320,67120,73240
"K",36760,640,1200,1240,2320,4280,8720,21760,44520,63240,72920,71600,74240
"L",40600,840,1120,2080,3720,4680,9040,24520,42880,60160,71120,72800,68440
"M",40080,1000,1320,1640,2160,6320,12680,22280,47760,60200,64840,71360,62760
"N",28680,1080,1240,2040,2480,4880,9360,16720,36160,49080,55960,64320,54120
"O",160,440,1160,1960,1800,1880,6480,10760,14120,26160,19280,54040,18040
"P",120,3840,32280,47800,32720,47160,30280,44480,34360,44320,31960,23680,NA
