"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,40,120,40,40,160,200,440,240,160,40,40,40
"B",200,240,280,880,2400,4440,3400,4160,2800,200,80,0,40
"C",35000,4640,5320,6000,6120,5880,4640,3960,3720,960,120,40,0
"D",32080,5720,6440,5760,6280,6560,5480,7480,5000,1520,200,0,80
"E",36520,25120,24960,22960,20800,22480,23240,22840,22200,8760,280,80,120
"F",32640,39240,30000,32160,32920,33240,34680,30440,31240,11120,200,120,80
"G",35680,33080,34160,31280,34000,34800,31720,28760,33160,9200,280,120,80
"H",31280,30920,29200,36240,31640,29960,31920,32560,30120,8160,320,120,40
"I",36920,33440,22680,24960,32320,32800,31480,27120,29960,10400,240,80,80
"J",32320,29360,27840,29200,28880,31760,33920,31840,31480,10560,400,40,120
"K",32760,37960,25760,33000,28160,28960,31200,28640,29960,13120,520,80,120
"L",29920,22200,20280,22120,23880,20560,25720,22560,20320,6480,200,120,40
"M",31840,7480,6320,6760,6160,6320,5040,6480,6440,1120,160,40,40
"N",27680,5440,4440,5120,5440,5640,5720,4880,3840,1040,120,40,40
"O",30920,4600,3440,4440,4520,3120,4560,4040,2640,160,80,80,80
"P",NA,160,160,80,80,120,160,120,120,80,80,80,40
