"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,38720,43800,45520,34600,38000,37480,34200,45080,38360,34760,25640,160
"B",65640,35520,32520,28240,29680,26640,30320,28840,26760,12560,2040,760,22640
"C",72280,57080,58160,56320,54600,54720,52760,57640,53240,33680,4240,640,45120
"D",65880,68480,66400,65800,64720,67480,69920,64280,58360,44880,5040,880,55720
"E",66360,72160,67320,70160,66480,71480,69560,72560,60120,48440,7080,960,54000
"F",68040,66600,66840,63800,68080,71960,71320,63240,67040,37600,4720,840,53960
"G",67200,73280,68120,74480,69800,68680,69600,66560,66680,46920,8360,880,37760
"H",67840,70600,64880,68840,65600,68240,70480,71200,58680,39840,3840,560,32640
"I",67440,68760,72960,63840,65000,70200,69920,70480,64280,51720,7960,720,21800
"J",67120,73240,73520,66280,68680,72480,66720,72080,62360,39800,4320,960,38720
"K",71600,74240,69240,69400,67480,70000,68080,71880,65680,42520,4360,680,44240
"L",72800,68440,69400,68480,69040,62840,70520,68920,59240,40440,4680,1080,50120
"M",71360,62760,66720,64320,66600,68560,63360,65760,69240,40280,4600,1000,50040
"N",64320,54120,54520,55040,55080,59040,57600,55880,51920,31040,3200,1240,45600
"O",54040,18040,25240,19720,30320,22440,29080,29400,24720,10160,1760,600,21360
"P",NA,18080,35640,27400,43400,30800,46760,37360,48040,51120,45960,30480,160
