"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",40,80,880,1040,600,600,640,400,360,440,920,320,NA
"B",160,1240,3560,4760,6520,9840,21640,26800,26560,29920,27080,40800,29640
"C",320,3320,5200,8120,13200,22920,25840,28200,26200,29280,36320,64320,28760
"D",2120,4840,8960,10240,14280,21840,23320,21200,26160,23560,25640,71840,25840
"E",2160,4400,6520,11440,14080,29280,48200,53280,52800,52920,50040,77120,56760
"F",1320,4960,6840,11360,19200,38480,65800,62440,67600,66760,71320,74720,77320
"G",280,3240,6480,10520,18840,35240,59320,58400,61600,66240,69320,72880,80760
"H",11280,6040,8600,9880,16680,45000,62200,67280,68600,74880,74120,68480,75320
"I",480,3920,7080,12640,21000,37840,43560,58400,69320,60720,68320,71040,75800
"J",3480,4800,8680,11240,16160,40880,66080,71560,71760,71720,67200,68680,75480
"K",1520,4600,7040,9040,18400,38440,63160,70200,61640,69840,70240,82440,71600
"L",640,3600,7320,11800,18240,26680,49760,60840,57440,59120,51480,69880,54280
"M",2160,1840,5840,9280,14760,21120,19680,20360,21200,23480,25720,70920,28440
"N",760,2800,8680,10440,12160,25000,30360,28200,36320,35160,30280,69400,33160
"O",40,520,2240,5280,7200,15360,22800,23920,27760,19960,29680,52760,33040
"P",80,200,920,1600,1400,2040,560,520,1960,1080,1880,3200,NA
