"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,45840,45280,46440,44360,42640,43960,42040,42240,43080,43800,54440,49720
"B",50840,5640,6240,5400,5400,4960,4040,2600,960,520,480,360,48280
"C",43240,7520,7080,5560,6480,5720,4040,2320,960,360,200,480,44560
"D",44160,5440,6760,6160,6000,5960,5080,2360,1040,320,240,440,44480
"E",41680,16200,17240,16480,14760,15120,12800,7680,1960,640,280,440,39840
"F",43160,30440,32360,36720,30800,32040,29080,19400,3200,1360,440,360,45760
"G",46040,38120,42800,46360,47080,45040,43120,27400,6120,1840,200,360,43920
"H",46600,46320,47600,40160,47640,42680,40400,30600,5520,2080,320,360,48920
"I",46640,45680,43680,43560,43920,46080,41200,24520,8120,2680,480,320,42680
"J",44320,37160,35640,34760,41800,44520,38920,28560,6480,680,480,440,46760
"K",45800,32760,36160,32600,35400,34200,32280,19960,5560,1840,360,440,41520
"L",47240,14960,15360,13680,15240,15200,12280,6840,1280,640,440,360,47680
"M",43120,6080,6920,5440,6080,6800,5440,2840,1320,400,480,440,41920
"N",43840,6920,6000,6640,5000,4840,3960,2240,920,440,280,440,49840
"O",41960,4480,5920,4280,6880,3360,3960,1400,1000,520,480,360,39960
"P",NA,41480,46240,41120,27400,42000,31160,42720,46120,41160,45480,40960,40400
