"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",47640,44280,42960,43720,46880,46160,44760,46440,45920,43960,45320,48800,NA
"B",51680,1320,720,800,800,1400,1440,1680,2360,3520,4920,50840,5640
"C",43000,640,560,840,1120,1360,1560,1840,2800,2960,4960,43240,7520
"D",45760,600,720,640,320,880,1240,1200,2640,2960,5640,44160,5440
"E",42480,1480,2080,1600,1760,2760,3720,6040,6920,9760,12000,41680,16200
"F",51760,4040,5640,3720,5960,6840,7680,13080,17480,22640,29680,43160,30440
"G",48400,4600,6800,5320,7720,11240,14200,17480,20760,30720,34760,46040,38120
"H",50440,3800,5360,5800,9200,9720,11960,20800,30960,34960,40520,46600,46320
"I",48000,2760,3120,5120,8920,9200,13600,19520,27960,34640,39720,46640,45680
"J",51280,3960,4040,8000,8720,11240,13120,17000,23760,32200,38080,44320,37160
"K",47720,3400,3560,3640,5200,7520,9080,13440,20560,20240,27080,45800,32760
"L",49880,2680,1600,1360,1320,1840,3760,5640,8960,9360,12240,47240,14960
"M",51960,640,520,600,1040,1000,1720,2160,2200,3120,5120,43120,6080
"N",51120,880,760,880,840,1080,1080,1320,2840,3680,3840,43840,6920
"O",47200,880,400,840,880,1240,1000,1600,1600,2760,4000,41960,4480
"P",49360,47040,44840,46920,43360,23320,45000,44000,42680,25320,42800,25440,NA
