"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",5847160,5843360,5677080,5748280,5877440,5973640,5770880,5907760,5792200,5682640,5470560,5459520
"B",5340400,166280,151240,158360,192880,169480,220280,436600,670800,828040,876520,5728120
"C",5480320,683640,716560,734840,799440,827280,938240,1149360,1291120,1463400,1518800,5476960
"D",5276760,1194120,1199000,1192760,1243920,1281160,1449800,1670320,1964720,2303640,2471240,5401400
"E",5313640,1797400,1764480,1869600,2005920,2023200,2209040,2531160,2947520,3323200,3649520,5254080
"F",4980200,2391120,2558680,2921080,2784800,2961400,3185680,3426920,3874480,4419560,4712840,5721680
"G",5675720,3224840,3331000,3500160,3741840,3956200,4243560,4607640,4772120,5165200,5674520,5381080
"H",5113280,5176080,5164960,5308080,5437120,5835840,5632040,5593280,5558480,5658920,5684400,5580640
