"","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26120
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35760
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35600
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37680
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37720
"H",34440,49360,56560,60880,58920,62240,59200,63000,62040,59720,59800,56760,56080,57520,54400,57240,56960,57400,58880,52800,39000
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,43640,48400,52600,53800,57720,47520,47680,32520,20080,11080,9320,39560
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54760,52880,54880,53200,54800,46600,32440,21840,10720,10560,46000
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45480,43520,43360,45560,46880,34880,33240,23600,13760,9800,39200
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54080,50840,49760,48720,55200,43720,34760,24120,12480,12160,35360
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37000,41240,36480,43920,43600,36680,30800,23560,12760,9720,34480
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,42240,40040,40240,40880,36720,31080,22880,13600,8600,34440
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23000,25120,30520,26520,28720,26600,25240,19160,10360,10440,25640
