"","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23"
"B",8880,13120,21680,27920,31080,37680,33720,34640,29600,30440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26120
"C",7760,9640,12480,16760,22680,24280,26040,27640,29000,33080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33000
"D",10160,11040,21960,36840,48400,49880,51160,50880,53960,49520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35760
"E",8720,11680,12960,15040,20120,28280,26040,33400,36440,38240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35600
"F",10080,13320,19960,35240,50480,52560,48800,50600,53360,51040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37680
"G",9680,9760,13880,16360,21120,21800,32680,35560,42240,39160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37720
"H",34440,49360,56560,60880,58920,62240,59200,63000,62040,59720,59800,56760,56080,57520,54400,57240,56960,57400,58880,52800,39000
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,43640,48400,NA,NA,NA,NA,NA,NA,NA,NA,NA,39560
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46000
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39200
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35360
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34480
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34440
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25640
