"","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23"
"B",63160,114880,249120,271160,288600,280080,290240,272760,276200,278840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271640
"C",64480,136040,244000,288320,316960,286880,301160,290960,301560,308960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292480
"D",65760,122880,220240,283680,289560,281960,298880,315120,314840,281120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283600
"E",72480,138080,231440,315800,282360,350040,264080,318320,302480,340240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284320
"F",73960,154120,279720,331440,354000,341800,354200,314840,346520,340560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291280
"G",66000,171480,242400,275520,300880,314280,321720,299280,279400,337080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331880
"H",279120,292920,269480,310880,350160,273680,273320,282680,325840,274200,339960,293320,291240,281160,267400,365080,275040,269240,356920,276640,325680
"I",72600,147480,282000,301840,288120,291160,297440,281360,297400,295880,318800,NA,NA,NA,NA,NA,NA,NA,NA,NA,318200
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304680
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321920
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274240
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268680
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330640
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291680
