"","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23"
"B",5760,23680,80240,157080,160360,169960,162800,164400,166680,174160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168960
"C",4640,21800,65960,164040,167640,165960,161720,170880,174160,169400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171760
"D",6640,26600,92440,172280,178640,164760,166400,169920,171240,157880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165160
"E",5520,17600,70240,194600,177560,169600,173000,166480,165720,161720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172480
"F",7840,32160,83040,201520,215640,208800,213280,184880,200480,193920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174080
"G",4600,22880,83320,163120,174560,195720,203520,167800,167600,219560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181440
"H",189000,161880,183560,184760,169880,169760,165680,172680,184720,174040,197080,210600,175640,172440,173040,191120,191360,170720,171760,171480,170880
"I",7200,27760,96000,179200,171600,172440,172560,180880,161880,187240,173800,176960,181280,182760,177560,177320,166840,127720,39280,9880,172240
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181200
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170040
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179440
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164720
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162240
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163840
