"","1","2","3","4","5","6","7","8","9","10"
"A",123898.9,117870.834,110296.65,80609.89238,44890.45941,20422.07064,11062.56608,9491.733793,8509.926237,8469.83409
"B",92269.22541,83321.42451,63474.20253,49968.3176,24288.49172,14089.45496,10452.43718,8940.997782,8339.301876,8126.100441
"C",65786.93687,59942.53942,51453.74321,34977.67622,17935.19156,13744.41577,10337.43715,8319.411302,8110.561035,7815.624581
"D",45798.42587,45291.85324,36906.28824,23804.6575,16293.75518,11178.50125,10141.93808,8893.135182,8132.626994,7833.339337
"E",36008.53557,29045.14478,24459.82557,21938.11056,18191.36293,12124.33703,10051.80379,9112.868639,8222.444932,8026.959164
"F",24878.99112,21350.77623,19678.37998,15625.08124,13902.94681,12343.47167,10653.84367,8605.961125,8300.142319,7111.082761
