"","1","2","3","4","5","6","7","8","9","10"
"A",3655.423032,3348.409983,2629.986443,1962.538628,1245.390008,658.446631,376.630749,233.082738,173.115908,161.308981
"B",169.076695,165.969609,157.891187,127.441768,114.081318,119.674063,106.935033,90.467513,101.652997,104.760077
"C",122.159729,121.538312,110.042113,125.577518,119.674063,106.002909,88.603266,87.98185,84.253357,86.428311
"D",136.141599,101.342289,109.109989,87.98185,107.867157,82.699818,99.167334,99.478042,89.224682,80.524864
"E",116.566982,128.995309,108.488573,104.760077,109.109989,96.370962,97.613794,86.428311,92.33176,86.739019
"F",109.109989,109.109989,112.527777,116.87769,100.099457,92.642468,98.545918,87.049727,77.107079,81.456987
