"","1","2","3","4","5","6","7","8","9","10"
"A",80719.23383,86647.61086,71237.23857,60873.36022,39601.25734,13545.16515,826.543098,134.277349,111.284945,108.799281
"B",26228.87944,26136.83267,23103.17344,17487.51849,6074.655258,742.650108,98.856626,87.360435,83.321234,88.913974
"C",19746.46798,18777.39398,18113.64081,11030.24107,4096.37117,447.472869,102.585121,78.039202,87.049727,101.342289
"D",16748.25029,16020.19088,14910.41496,10035.331,4205.133124,293.049683,95.749547,101.342289,91.710344,107.867157
"E",18200.06782,17280.161,13629.40356,10634.26242,2078.750578,384.398517,100.410165,96.68167,84.564065,101.652997
"F",11783.6712,11714.979,10794.64249,8413.270063,2698.037096,152.609143,83.942649,91.088929,90.467513,96.370962
