"","1","2","3","4","5","6","7","8","9","10"
"A",83114.8737,84386.91196,83173.44302,63925.6517,42465.40413,15072.68224,1007.690586,128.373892,109.420697,111.595653
"B",25712.0528,27330.97409,24668.16382,17161.40516,7242.231374,1007.069152,95.438839,94.196007,90.156805,86.428311
"C",20659.60769,17313.73603,18494.79195,12810.03158,5545.422403,632.035993,107.245741,85.18548,101.031581,87.360435
"D",16681.10148,16079.2557,13846.68374,10644.51926,3927.63552,452.754963,96.060255,87.049727,90.778221,90.778221
"E",12451.33,15634.40714,12963.8953,9795.388691,3844.355647,447.78358,91.399637,91.710344,99.167334,86.428311
"F",12658.65528,11285.73389,10164.00548,5955.631464,2330.441051,165.658901,102.585121,90.467513,92.33176,93.574592
