"","1","2","3","4","5","6","7","8","9","10"
"A",75488.09665,82329.49472,78392.92941,57836.30997,40654.67018,13563.19402,745.135823,156.959061,141.42364,104.138661
"B",28084.48849,27615.21139,21801.92512,16200.49436,6647.094601,989.669005,120.916896,99.167334,94.196007,88.292558
"C",20317.29375,20202.56812,16740.47843,10210.93761,5079.903831,663.418047,105.692201,99.478042,96.370962,88.913974
"D",19646.97872,16504.52569,15864.7577,10622.45152,4371.384276,351.463192,115.945566,81.767695,85.496188,93.263884
"E",16307.12259,17081.82035,13565.36992,9493.909406,3689.294091,346.181115,90.156805,94.196007,86.428311,91.399637
"F",12681.0353,13715.19641,10746.15541,7225.760072,2166.375919,157.891187,92.021052,90.778221,84.564065,92.953176
