"","1","2","3","4","5","6","7","8","9","10"
"A",22589.81903,22395.17566,20358.33391,18733.24696,12985.34304,7369.029611,4807.059739,3738.391654,3298.380816,2836.935466
"B",6520.610082,7868.768878,7863.796308,7749.116643,6391.32914,4482.633207,3468.666757,2464.676803,1856.891778,1121.102502
"C",5019.616889,6317.987306,6268.885666,7161.428846,5800.248607,4228.128558,3106.965617,2198.380981,1639.073965,1083.816347
"D",4411.160385,5652.635612,6330.107343,6813.358818,5693.656416,4359.265003,3113.180377,2115.105742,1584.697431,1025.401461
"E",4645.778,5752.701,5548.53,6407.8,5386.312,4436.331,2993.546,2171.969,1424.675,913.5434
"F",4745.219554,5499.429603,5586.753828,6122.513518,5018.995375,3825.400185,2946.625221,1733.533998,1182.003318,853.264616
