"","1","2","3","4","5","6","7","8","9","10"
"A",23873.99831,23385.19549,20691.32089,18706.82096,12828.99252,9604.244269,4839.999787,4318.867461,2616.93565,2364.621396
"B",15065.53251,15976.04778,17999.85598,16089.51434,11828.43,8525.776635,4852.430002,3159.169645,2679.082333,2155.50042
"C",17873.32524,17664.41076,13904.50104,13412.12489,9554.205029,7061.669091,4741.490502,3348.409983,2497.9251,1982.425134
"D",15933.76994,15481.15191,14997.14392,11143.06793,10509.31573,5578.673996,3977.044206,2817.669883,2703.319573,1994.854207
"E",15217.2314,16008.99967,13589.30481,10440.00473,8842.164701,5945.997704,4328.189966,2744.025749,2224.79295,1865.592093
"F",15351.52283,16513.85185,13224.99913,9717.37676,8177.691325,5052.246405,3647.343702,2306.825562,2570.947185,1572.268522
