"","1","2","3","4","5","6","7","8","9","10"
"A",117522.1465,110187.2045,106995.0597,91888.72713,42163.29669,18735.42,10935.13,8792.437,9497.328,8111.183
"B",95334.88376,78829.02037,70173.75843,48466.78097,24133.95002,13266.02993,10074.49274,9777.672817,7671.420633,6947.613938
"C",70036.11593,49263.75335,50944.58871,32613.1123,17974.98503,11456.99608,10108.05999,8148.787988,7628.532518,7331.735958
"D",42964.46343,31600.40486,32703.93411,20957.77523,14917.25379,11839.61971,9560.110276,8113.047339,7735.442131,7093.05764
"E",27762.30676,23886.43614,23637.36952,17991.77292,14633.44345,11800.76657,9153.583212,7867.836521,7227.313968,6513.151551
"F",22775.4465,20071.05389,18185.76693,15630.98764,11850.80943,10530.14015,8939.133004,8180.177634,7259.324243,7093.368418
