"","2","3","4","5","6","7","8","9","10","11"
"B",314560,317600,280200,198800,153880,157760,88160,35520,3480,4160
"C",235080,309040,262200,202680,126920,79200,21760,3760,1680,2840
"D",226680,298840,259520,206800,136960,77360,19880,2560,1480,2920
"E",233360,299960,265360,206760,135280,76280,19880,2480,1560,2720
"F",218440,298160,264960,207120,150760,73080,15640,2720,2440,2880
"G",88600,242560,213520,185440,100360,38840,9920,3360,3680,5040
