"","1","2","3","4","5","6","7","8","9","10","11","12"
"I",230760,207680,211560,190080,194040,228600,228960,223600,226640,174320,202520,217400
"J",234160,207160,213320,177200,227680,209000,214240,217160,185040,192760,60120,4600
"K",187560,177440,165320,191120,197080,192840,203520,214680,164920,165440,68160,2960
"L",217720,218960,191120,219560,225600,225600,200960,212440,175320,179440,85160,4200
"M",159240,159600,137240,191920,188720,194720,183080,198560,152040,161880,90360,2760
"N",173800,205480,204280,212360,213640,228160,200400,201360,199120,151640,104440,3440
"O",112200,110360,137040,120000,172480,159440,174480,173760,150520,152160,93880,3040
"P",215440,230080,214320,240440,208000,246640,209440,281960,239640,249920,234080,262840
