"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",278840,271280,288360,297760,315360,300720,300880,282400,301440,310840,309000,304520,302400,295680,308040,308880,322920,335760,322440,293880
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3920,3960,3000,2760,1840,2440,2240,2400,2800,4160
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6880,5560,3880,1760,1440,1120,1200,1160,1920,3240
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14480,15080,14160,6000,2120,1320,1320,1360,1880,3640
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46360,49400,59120,52320,16600,5680,4520,3720,4520,6480
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+05,118760,119280,123960,69960,26960,18840,19360,21120,19360
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288320,275320,299120,287400,266800,135040,103480,82840,80040,72600
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264520,314560,276840,311600,299760,219880,150440,127800,118480,115320
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286720,289520,296840,285480,282040,213600,153040,124560,122080,113600
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269120,271800,272960,295760,281600,237000,156680,132200,123720,111040
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272280,272480,284000,283040,314200,220400,149760,127640,122400,112160
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263240,264760,246080,263480,239840,257440,238560,254000,242400,254760
"O",253320,279600,239880,282200,260840,295520,246560,294960,278280,310440,291960,283200,240600,279880,227440,281120,274400,289000,271040,277720
