"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",356520,341640,325040,359440,339800,363640,362000,384440,371880,412720,373360,345920,360520,335120,372600,367560,374480,395440,387000,362520
"C",5240,4240,3920,4320,3120,3040,2840,2680,2880,2560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",7960,7200,7240,6920,5880,3520,3480,2520,2800,2960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",15080,17720,18480,19880,11960,10520,8760,7640,7160,7600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",35720,36280,35840,32120,25520,19280,17480,14920,15800,13240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",67880,80720,85720,71000,51960,42560,33600,31240,30040,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",225560,269560,267240,272320,226240,150360,106480,106560,86960,87400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",268520,265920,263520,328360,341240,322320,218360,215160,161760,205320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",314640,277840,301240,325400,343960,327880,271600,194720,206840,162200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",270160,275520,253120,318360,285760,332520,283120,233280,212480,161640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",291160,291120,305400,294840,316440,317760,265040,239160,188360,197760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269960,268200,279760,306160,295960,280360,265800,288960,272920,307760
"O",295240,271440,313840,321760,312720,301160,293480,307800,283000,342720,316320,294920,254800,332760,289240,277840,318200,312600,297720,304040
