"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",278880,277240,288440,305840,315560,315600,304440,304560,298920,309120,309920,302640,307800,297320,326720,333480,322920,324120,318440,294840
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880,3080,2760,2040,1920,2080,1920,2040,2440,4240
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320,4640,3560,1680,1120,800,1040,1200,1560,3280
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9200,12440,10360,4440,1720,1160,960,1000,1400,3160
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24280,26520,30400,17640,4560,1880,1600,1920,2080,4040
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63520,62120,74600,82880,37480,13840,7840,8080,9000,10920
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218720,207960,249960,222400,196560,90000,67960,52320,58880,49280
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300280,346960,294960,309160,306440,201880,116560,117640,111440,108880
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305560,284800,289040,301400,304080,211480,139360,137560,112280,101120
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268160,300840,260080,297720,298560,224400,146360,137920,119600,126120
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271360,266960,273920,290120,296800,226600,157960,127520,117840,106520
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261040,265520,277320,263840,265840,266840,266560,261560,254200,268840
"O",195520,296360,273760,277680,278280,301160,264200,292880,289880,307040,264480,312360,273200,285880,266680,305320,301720,299040,303120,292200
