"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",278880,277240,288440,305840,315560,315600,304440,304560,298920,309120,309920,302640,307800,297320,326720,333480,322920,324120,318440,294840
"C",3640,2920,2480,2120,2520,2320,2000,2000,2160,2080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",4480,4200,3240,1600,1280,1000,1080,960,1120,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",7960,9240,10320,6440,2080,1040,1120,1040,1440,1520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",19200,23160,30280,18840,6240,3440,1960,1840,1920,2480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",40520,62720,67200,76720,41920,19880,13480,13400,11680,13200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",203680,190240,228440,224760,223480,120440,98440,75040,70000,65600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",227160,283080,277640,306600,273680,226960,148120,152080,135520,143280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",277920,258120,273000,306320,294240,249040,194840,163720,170320,149440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",242480,265200,279720,280080,283840,245400,178760,164400,142240,156720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",267800,250800,275600,294400,308600,250080,209040,168680,147960,144800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261040,265520,277320,263840,265840,266840,266560,261560,254200,268840
"O",195520,296360,273760,277680,278280,301160,264200,292880,289880,307040,264480,312360,273200,285880,266680,305320,301720,299040,303120,292200
