"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",274600,293200,299480,304400,306840,321080,308040,291680,306120,301280,315800,298400,302720,319240,315000,307200,316320,315240,316280,292720
"C",3960,2720,2320,2320,2320,2280,2120,1920,2120,2080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",4720,4400,3520,2480,1520,1000,1160,1120,880,1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",7960,10320,8880,5560,1480,1640,1200,1120,1080,1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",21640,23720,27040,21480,6280,3880,2440,2200,1760,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",43960,51920,65160,89000,39960,22800,16440,15960,13200,12920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",196720,188800,236520,227360,201240,135520,99000,90960,87240,77480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",246080,279360,260040,290040,274840,238160,146480,148720,148640,138000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",277360,257480,284800,280000,312360,257920,204440,167280,151200,142080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",231040,263960,243120,292880,261560,260480,165280,166080,166280,163000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",262240,258200,289680,296520,297680,254080,191960,164160,160400,133640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244040,268360,246000,268040,262520,252360,269320,268240,258080,297960
"O",216320,228360,252840,277320,219200,270440,275240,271280,258800,300600,290280,289360,278080,279040,285200,295560,290840,312840,292040,306640
