"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",334720,360120,353280,377840,346200,382080,349440,349440,351120,371400,366040,352680,356040,342840,356960,358600,347320,360880,363320,359520
"C",4960,3080,3080,3440,3040,2520,2160,2560,2240,2320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",8720,5600,6560,6520,4760,3840,2760,2520,3120,2640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",19200,17000,15160,16600,10520,10320,7560,6520,6360,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",58320,45360,44600,40080,38400,26920,21480,18760,19280,16080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",99760,98520,90960,98480,69680,57720,42920,40840,42280,41480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",333400,348440,374160,350720,344120,209000,199480,161720,172040,139600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",284880,318400,276320,368160,331760,300480,174400,202400,194600,179760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",301080,319160,325400,315960,335520,342840,290840,220640,210680,209640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",277040,329920,262600,329080,329600,296000,196040,226880,163120,229200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",284640,303680,303840,327920,370600,315520,245000,198160,189640,224360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268120,270120,275320,290200,275320,274440,293640,297800,286280,289160
"O",271640,306840,271000,334080,294480,327320,295120,322680,290920,350560,317680,343720,313160,301200,282680,336360,281360,324240,307440,327880
