"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",73320,85240,114320,99040,107480,106400,100680,90200,101000,99160,112080,101080,108680,103480,106240,110600,114720,102080,103920,83440
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600,3520,3840,3560,3520,3000,2880,2360,2320,2160
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7960,7880,8040,7200,7720,6480,6880,7000,7000,5800
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14120,14120,13280,13400,13360,12280,13000,12800,11840,12320
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25240,26080,26000,27880,24720,23600,22440,21840,22600,21480
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40120,43480,42640,41360,37360,38160,36160,36280,34560,36120
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84320,86880,88640,75640,69320,60080,58640,53320,50200,47440
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103440,106600,103640,97640,73840,61520,55280,58280,52560,52720
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114880,103320,101240,85560,75480,57800,56800,53680,51520,45600
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85320,95120,94080,75440,65400,55440,49680,53000,44760,45160
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99760,98720,109560,78560,73920,55120,47920,46880,43280,43160
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90800,95720,100520,98880,92360,85920,97880,96040,88160,99160
"O",68560,79880,76160,82720,90160,87880,80840,93640,86440,77280,80040,80680,84160,78760,91080,77600,87400,89400,89360,95080
