"","2","3","4","5","6","7","8","9","10","11","12"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170480
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169400
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175880
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181800
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177560
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185400
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,180680,176960
"I",86840,113720,130720,159480,160400,163320,179680,170120,190440,182400,186280
"J",96000,111640,165360,155320,170960,169080,176320,173360,185280,190880,182720
"K",74320,108880,128360,155440,157160,161600,164160,191920,186800,196480,166200
"L",62360,88000,106280,124360,145680,152200,165080,170840,160720,160400,186040
"M",46640,73240,95200,109640,117840,126600,130480,131960,133960,136680,166480
"N",26800,45240,59120,79240,87000,86720,106600,104120,103160,106080,172480
"O",2040,2280,3920,5920,8480,12080,15680,17400,19600,24320,159600
