"","2","3","4","5","6","7","8","9","10","11","12"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120080
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128920
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134400
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143440
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135080
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136920
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,136720,139680
"I",100160,113920,123280,134120,132440,126880,130240,132000,146920,144040,142880
"J",96600,110360,110920,121720,137080,137160,128040,113120,133200,117520,136480
"K",83400,104240,110680,123240,117640,117320,121120,134680,130040,130120,132840
"L",73800,84000,102800,110600,107040,111880,113480,120200,117640,116560,131120
"M",53680,70440,86080,94240,94160,101800,101800,106360,110640,113000,128160
"N",49600,61400,70000,80800,83360,88920,92760,96680,94000,96320,128440
"O",21760,28120,34600,35640,35640,36280,38320,40920,44200,44360,124840
