"","2","3","4","5","6","7","8","9","10","11","12"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241360
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275480
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239800
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282480
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296680
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289120
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,283880,297680
"I",55000,70560,81040,84000,94680,112040,140840,171120,176440,265760,304760
"J",51200,70680,78320,95760,115280,123840,140960,166120,214440,254880,281000
"K",41040,54440,61440,73320,77600,105760,133960,147720,176600,224040,256880
"L",36680,40600,51840,63120,79840,99200,113080,131080,152800,216440,279520
"M",27680,33120,35840,36760,43840,59160,74720,100400,118280,177040,242720
"N",25680,28480,29120,32960,37200,38520,49040,48000,61240,80760,229520
"O",23320,27360,27680,26040,27480,37960,35880,40280,40640,47680,221360
