"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,100960,113600,111320,107560,97640,97000,103120,98960,103440,101960,113240,98360,102320,NA
"C",480,64640,76360,80200,81640,86360,95440,760,62280,86120,95640,86720,104280,98240,640,66880,91880,97040,84160,103640,89280
"D",640,68000,90960,95400,93120,105080,101320,720,72360,96640,102760,110000,107720,100640,560,82400,93200,115440,112560,110120,86200
"E",560,54800,104600,110920,77760,82200,64200,400,65400,107040,117520,88440,81800,122480,600,87840,98880,110240,93600,124920,105080
"F",560,77760,116400,86400,138160,135040,93320,520,70200,129640,97160,134480,126680,145800,640,103040,94120,101640,131560,143160,125760
"G",640,64840,83120,100920,91640,141160,108240,680,69480,87040,100360,92680,143040,116000,760,110760,137880,138720,98640,114880,146640
"H",600,115200,124040,137920,131280,154440,138840,640,116880,90880,152080,136400,141600,152280,680,129360,82760,140480,142520,140960,156360
"I",560,121320,141400,133240,127120,153480,138160,600,123680,135120,150000,139040,141680,143520,720,119200,142680,139320,147520,139800,185080
"J",680,116680,130400,113440,118200,133720,141360,800,71880,146240,132960,126680,113960,121680,1000,137880,147400,112720,126240,138040,141520
"K",3560,147360,123760,116520,115120,136600,131200,880,69200,136480,120840,116600,127600,138000,600,131920,127880,116880,111880,116080,147400
"L",62800,67160,113800,129440,135240,152680,139920,123440,132840,NA,NA,1120,135280,127320,124680,109680,118280,88400,NA,NA,NA
"M",30320,68000,103920,132400,147040,156560,126200,133960,117600,NA,NA,920,131000,78120,72720,101680,107520,117280,NA,NA,NA
"N",67040,76840,97960,129320,113640,153760,127600,118920,116000,NA,NA,1240,122800,117160,114640,100400,106280,113920,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,118080,128120,113680,119680,92400,132680,106760,113960,116720,112240,115400,104840,114560,NA
