"","2","3","4","5","6","7","8","9","10","11","12"
"B",1840,1640,2360,2720,3440,6760,8360,12520,13320,23840,140880
"C",1800,3160,5080,5200,9360,22400,41160,50440,69480,94360,155640
"D",1480,1880,4560,4320,11120,26800,61880,84640,109880,126200,147000
"E",1480,1600,1880,3640,10360,24720,73840,111680,135840,146960,156480
"F",1640,1360,2480,4440,12480,78720,127120,124760,156320,161920,153480
"G",2480,2760,3400,6800,32480,80600,137440,155480,160720,175520,163480
"H",4440,7320,11400,25960,60640,101120,148760,155880,148800,163240,157080
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,168920,154000
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169600
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159760
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146080
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144160
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158560
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146000
