"","2","3","4","5","6","7","8","9","10","11","12"
"B",45880,35200,36840,40960,42800,42480,38800,38080,46120,38840,96360
"C",48960,61000,64800,73400,71320,87360,82720,77560,77920,79040,100600
"D",62600,69880,79480,74920,83160,92120,89560,95400,99080,92320,100800
"E",62200,73680,81120,99000,94920,98000,92280,97520,105960,111280,108920
"F",104080,108360,95200,99440,105280,105400,106840,110440,119600,113800,112080
"G",93160,90520,99160,106120,108120,114480,113520,114960,108320,119080,105560
"H",97840,107000,107840,106840,114240,117600,120520,115440,120240,118920,108280
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,120840,118960
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110680
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102640
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100160
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100840
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97320
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93560
