"","2","3","4","5","6","7","8","9","10","11","12"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150400
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146920
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153880
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154880
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189640
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168040
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,195040,180880
"I",66800,95800,122200,129600,160080,176200,176680,192760,202680,198680,185200
"J",62080,88720,114840,142800,155960,173840,185600,185760,194440,188880,171520
"K",43720,75960,113800,130440,149640,169040,179720,197520,189560,199120,164400
"L",35560,61560,90200,118320,137440,137600,162520,169520,166240,168920,168120
"M",29280,51240,79200,104360,124320,128720,125440,137200,146840,153280,158200
"N",13360,25280,42240,73720,79040,88920,89640,95200,98560,99480,155920
"O",1400,1760,2200,3840,5960,8480,12120,13200,16560,143040,152040
