"","2","3","4","5","6","7","8","9","10","11","12"
"B",18480,23840,24480,24840,25720,26960,28120,28120,26080,28320,155680
"C",38640,80880,95280,105200,108880,110680,113520,95880,96520,108960,176440
"D",42560,98240,126720,136920,146560,144360,146640,152560,137640,151640,190120
"E",47520,105920,125560,158880,153480,166080,147840,160320,152760,181960,189600
"F",68880,142840,164080,177320,199640,198040,203560,203040,192680,205560,174720
"G",80680,141320,169280,175360,186080,199160,190800,208400,184960,199520,188400
"H",100880,167520,176360,188800,190360,196320,201120,201120,203920,205160,191560
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,186520,187640
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181640
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180240
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183520
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165680
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173200
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160560
