"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",82240,96000,92160,99600,92240,104080,98120,99920,93760,106640,96880,99680
"B",92440,51640,54240,59080,55320,59000,64520,64160,51960,62560,65640,104120
"C",97720,67880,69600,71840,67720,74920,74520,74640,72840,75400,73280,100920
"D",92200,66200,70600,77320,69680,76960,76800,79560,75200,75120,77320,101560
"E",92120,84080,90360,93520,90640,93720,95160,97760,93880,95240,96360,100520
"F",92320,87440,94680,93360,92080,97960,93920,96760,96280,100040,96440,99640
"G",94560,90640,97400,94480,97480,98440,101840,103000,97240,102520,97760,100960
"H",90200,93000,92120,97480,92040,97280,101880,102400,98040,96440,94760,98400
"I",92200,93200,93680,100240,99760,99680,104080,102960,100320,100840,101680,97680
"J",92480,91280,95320,93880,92200,99080,101120,100040,98400,98360,97960,101880
"K",91040,88120,90520,95760,93720,99840,98280,100080,94680,97840,100760,96160
"L",89280,78760,84080,84560,84640,88360,84960,94240,85400,92520,91040,96960
"M",94600,66560,70920,75600,69560,76880,76320,75640,73000,75320,74640,93760
"N",88880,61640,69840,69960,65640,74240,76880,73400,69240,70120,73480,98840
"O",89840,47640,52880,58000,52800,61240,59880,60480,55920,60040,61360,99400
"P",82360,92600,90720,94120,94880,95200,97040,99120,93640,99160,96720,95560
