"","2","3","4","5","6","7","8","9","10","11","12"
"B",9160,11880,14000,17600,21400,26120,31280,35360,37040,46480,117800
"C",4200,6080,6960,10640,13720,18720,35240,48440,58040,95200,128920
"D",3160,5200,7000,8240,11760,18520,42920,58560,72440,104240,135040
"E",3160,4080,5520,7520,11360,20280,48240,66320,87080,112400,136600
"F",3680,4720,6240,10920,18080,32920,108280,92400,113760,131640,133960
"G",5840,8720,16200,28880,45760,64600,90120,111360,118560,131440,140240
"H",8680,14680,24760,44320,62560,79520,108760,122040,125320,133720,131240
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,126160,132920
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133160
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129920
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135760
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132520
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128120
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131960
